,support,itemsets
68,0.005545993497800727,"['performance', 'day']"
259,0.005545993497800727,"['camera', 'display', 'quality']"
463,0.005545993497800727,"['phone', 'face']"
193,0.005545993497800727,"['everythe', 'quality']"
231,0.005450372920252439,"['battery', 'hour']"
413,0.005450372920252439,"['range', 'phone']"
403,0.005450372920252439,"['camera', 'feature']"
220,0.005450372920252439,"['battery', 'phone', 'charger']"
77,0.005450372920252439,"['unlock', 'face']"
93,0.005450372920252439,"['money', 'quality']"
386,0.005450372920252439,"['money', 'product']"
317,0.005450372920252439,"['charge', 'quality']"
430,0.005450372920252439,"['money', 'camera']"
263,0.005450372920252439,"['phone', 'year']"
141,0.005450372920252439,['review']
458,0.005450372920252439,"['battery', 'picture']"
58,0.005450372920252439,"['time', 'camera']"
131,0.005450372920252439,"['oneplu', 'quality']"
301,0.00535475234270415,"['battery', 'phone', 'issue']"
334,0.00535475234270415,"['dash', 'charge']"
278,0.00535475234270415,"['battery', 'phone', 'day']"
319,0.00535475234270415,"['phone', 'camera']"
390,0.00535475234270415,"['dash', 'camera']"
400,0.00535475234270415,"['dash', 'charge', 'camera']"
405,0.00535475234270415,"['life', 'phone', 'picture']"
215,0.00535475234270415,"['battery', 'mode']"
335,0.00535475234270415,"['battery', 'picture', 'camera']"
255,0.00535475234270415,"['oxygen', 'phone']"
270,0.00535475234270415,"['dash', 'quality']"
261,0.00535475234270415,['call']
487,0.00535475234270415,"['device', 'camera']"
439,0.00535475234270415,"['battery', 'usage', 'day']"
81,0.00535475234270415,"['phone', 'speaker', 'quality']"
493,0.005259131765155862,"['battery', 'picture', 'quality']"
250,0.005259131765155862,['spee']
333,0.005259131765155862,"['update', 'quality']"
254,0.005259131765155862,"['phone', 'update']"
399,0.005259131765155862,"['life', 'speaker']"
374,0.005259131765155862,['apple']
234,0.005259131765155862,['game']
171,0.005259131765155862,"['sound', 'phone', 'quality']"
383,0.005259131765155862,"['spee', 'picture']"
36,0.005259131765155862,"['price', 'quality']"
16,0.005259131765155862,"['price', 'product']"
3,0.0051635111876075735,['clarity']
21,0.0051635111876075735,"['phone', 'charge']"
157,0.0051635111876075735,['aspect']
363,0.0051635111876075735,"['battery', 'charge']"
352,0.0051635111876075735,"['battery', 'feature']"
247,0.0051635111876075735,"['battery', 'sound', 'camera']"
243,0.0051635111876075735,['mark']
212,0.0051635111876075735,"['range', 'camera']"
377,0.0051635111876075735,['card']
182,0.0051635111876075735,"['picture', 'quality']"
290,0.0051635111876075735,"['oneplu', 'phone']"
467,0.0051635111876075735,['improvement']
276,0.005067890610059285,['sale']
241,0.005067890610059285,"['picture', 'performance']"
236,0.005067890610059285,"['phone', 'one']"
404,0.005067890610059285,"['life', 'battery', 'feature']"
378,0.005067890610059285,"['battery', 'phone', 'performance']"
173,0.005067890610059285,['point']
314,0.005067890610059285,"['battery', 'performance']"
350,0.005067890610059285,"['battery', 'day']"
484,0.005067890610059285,"['photo', 'phone']"
282,0.005067890610059285,['brand']
50,0.005067890610059285,"['mobile', 'phone']"
135,0.005067890610059285,['display']
130,0.005067890610059285,"['battery', 'phone', 'update']"
477,0.005067890610059285,['plu']
123,0.005067890610059285,['everythe']
355,0.005067890610059285,"['battery', 'user']"
354,0.005067890610059285,"['battery', 'device']"
461,0.005067890610059285,"['app', 'battery']"
472,0.005067890610059285,"['oneplu', 'battery', 'camera']"
387,0.005067890610059285,['thank']
